Age,YearsAtCompany,WorkHoursPerWeek,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,TeamSize,CareerGrowthScore,BurnoutRisk,Gender_Female,Gender_Male,Gender_Non-binary,Gender_Prefer not to say,Country_Australia,Country_Brazil,Country_Canada,Country_Germany,Country_India,Country_UK,Country_USA,JobRole_Customer Support,JobRole_Data Scientist,JobRole_HR Specialist,JobRole_IT Admin,JobRole_Marketing Manager,JobRole_Project Manager,JobRole_Sales Associate,JobRole_Software Engineer,Department_Engineering,Department_HR,Department_IT,Department_Marketing,Department_Sales,Department_Support,RemoteWork_Hybrid,RemoteWork_No,RemoteWork_Yes
50,14,47,3.37,5.06,9.47,4.16,7.0,7.9,117,0.0,3.15,0.0,8,0.0,8.82,6,9.2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,1,59,7.39,2.0,5.65,3.74,7.2,9.0,8,1.0,4.4,0.0,4,1.0,2.8,45,8.46,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
29,13,59,7.1,7.17,5.7,8.8,5.2,9.7,75,0.0,3.63,1.0,6,1.0,7.28,7,7.96,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,15,31,4.18,3.76,6.4,4.69,8.7,5.8,43,1.0,4.5,0.0,9,2.0,1.31,11,8.9,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40,6,34,8.28,2.34,3.41,2.12,4.2,3.3,58,1.0,5.51,0.0,6,3.0,1.17,18,8.88,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,3,58,3.12,4.81,4.45,1.09,8.5,3.2,23,1.0,2.56,1.0,6,0.0,5.06,38,4.32,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
32,17,30,5.15,9.68,5.98,7.5,5.9,3.8,62,0.0,4.54,0.0,9,4.0,6.91,12,9.76,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,4,39,5.25,4.7,9.48,7.43,7.6,6.1,77,1.0,4.47,1.0,3,1.0,2.28,22,7.38,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
45,5,49,4.07,4.13,6.78,4.76,7.3,4.9,112,0.0,3.57,1.0,3,1.0,7.87,3,4.33,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57,6,59,9.59,5.0,4.0,2.14,4.8,6.5,40,1.0,9.99,1.0,2,2.0,2.16,19,4.98,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,14,39,7.27,1.11,1.09,4.34,5.6,0.4,75,0.0,1.66,1.0,3,1.0,5.8,43,7.18,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24,0,34,5.85,2.2,9.83,6.31,6.6,1.1,90,1.0,6.79,0.0,8,1.0,3.77,23,4.25,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43,3,47,5.59,8.65,5.44,7.34,8.2,9.8,73,0.0,2.57,1.0,4,1.0,7.77,34,8.44,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,0,50,2.43,9.8,9.45,1.7,8.8,10.0,106,0.0,8.56,0.0,5,2.0,8.24,3,2.33,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45,10,55,4.35,2.42,5.94,6.01,4.1,7.5,1,0.0,9.23,0.0,3,3.0,1.59,23,9.17,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
51,17,44,7.05,5.82,6.45,3.49,5.8,2.6,94,0.0,4.61,0.0,0,1.0,2.73,49,3.71,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,13,49,9.32,9.7,7.41,6.56,7.3,9.5,27,0.0,8.41,1.0,6,0.0,9.03,5,2.37,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
23,10,37,8.35,2.41,3.89,6.83,6.6,2.1,15,0.0,3.25,1.0,6,1.0,4.74,29,8.72,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,9,46,3.7,2.68,7.29,9.2,8.7,7.3,58,0.0,2.26,1.0,5,1.0,5.29,34,3.16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
54,16,41,4.91,9.34,5.74,4.69,4.1,1.2,0,0.0,3.84,1.0,3,0.0,2.51,44,8.59,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,3,50,1.75,7.35,7.05,5.84,6.2,6.5,85,0.0,4.08,1.0,9,2.0,9.95,5,3.67,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
43,14,59,1.92,2.37,8.52,3.41,7.3,7.6,0,1.0,4.58,1.0,7,4.0,9.31,29,9.4,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,15,59,5.23,4.54,2.66,3.58,5.1,8.6,30,1.0,4.36,1.0,7,0.0,1.02,45,2.97,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,20,56,5.77,1.51,6.52,1.41,7.6,7.3,21,1.0,4.7,0.0,0,4.0,5.96,24,1.63,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49,12,41,3.38,4.89,1.47,3.57,4.4,9.2,97,1.0,7.39,0.0,8,3.0,8.85,39,9.43,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
37,8,55,6.79,8.0,1.92,1.57,6.3,5.2,75,1.0,3.21,1.0,7,3.0,4.87,21,2.49,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36,10,30,7.33,5.99,7.07,9.68,7.4,6.8,58,0.0,1.17,1.0,1,1.0,4.93,32,9.5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24,10,55,3.69,6.83,1.64,6.62,5.3,3.7,118,1.0,5.41,0.0,8,1.0,4.41,43,8.42,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,5,55,7.83,3.94,6.36,2.56,4.4,0.1,86,1.0,5.03,1.0,3,2.0,1.26,5,1.74,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,0,33,2.85,2.45,2.98,2.05,8.8,7.6,27,1.0,1.54,0.0,9,4.0,8.11,18,5.01,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
